atleta_id;nome;apelido;slug;clube_id;clube_nome;clube_abreviacao;posicao_id;posicao_nome;status_id;status_nome;preco_num;variacao_num;media_num;jogos_num;pontos_num
78605;Gabriel Girotto Franco;Gabriel;gabriel;280;RBB;RBB;4;Meia;7;Provável;6;0;0;0;0
93882;Cleiton Schwengber;Cleiton;cleiton;280;RBB;RBB;1;Goleiro;7;Provável;7;0;0;0;0
107170;Jefferson Ruan Pereira dos Santos;Jeffinho;jeffinho;263;BOT;BOT;5;Atacante;6;Nulo;5;0;0;0;0
142484;Jordan Andrés Barrera Herrera;Barrera;barrera;263;BOT;BOT;4;Meia;2;Dúvida;7;0;0;0;0
143072;Gabriel da Silva Abdias;Gabriel Abdias;gabriel-abdias;263;BOT;BOT;2;Lateral;6;Nulo;3;0;0;0;0
94067;Matheus Fernandes Siqueira;Matheus Fernandes;matheus-fernandes;280;RBB;RBB;4;Meia;6;Nulo;5;0;0;0;0
87225;Pedro Henrique Ribeiro Gonçalves;Pedro Henrique;pedro-henrique;280;RBB;RBB;3;Zagueiro;6;Nulo;7;0;0;0;0
100848;Luan Cândido de Almeida;Luan Cândido;luan-candido;287;VIT;VIT;2;Lateral;6;Nulo;5;0;0;0;0
103295;Eric dos Santos Rodrigues;Eric Ramires;eric-ramires;280;RBB;RBB;4;Meia;7;Provável;5;0;0;0;0
100842;Ruan Tressoldi Netto;Ruan;ruan;282;CAM;CAM;3;Zagueiro;7;Provável;6;0;0;0;0
110715;José Andrés Hurtado Cheme;Andrés Hurtado;andres-hurtado;280;RBB;RBB;2;Lateral;7;Provável;4;0;0;0;0
110750;Gustavo Marques Alves dos Santos;Gustavo Marques;gustavo-marques;280;RBB;RBB;3;Zagueiro;7;Provável;3;0;0;0;0
106434;Eduardo Gonzaga Mendes Santos;Eduardo Santos;eduardo-santos;280;RBB;RBB;3;Zagueiro;6;Nulo;5;0;0;0;0
104588;Fabrício Oliveira de Souza;Fabrício;fabricio;280;RBB;RBB;1;Goleiro;6;Nulo;2;0;0;0;0
103014;Ignacio Jesús Laquintana Marsico - Nacho;Laquintana;laquintana;280;RBB;RBB;5;Atacante;6;Nulo;4;0;0;0;0
112886;Lucas Henrique Barbosa;Lucas Barbosa;lucas-barbosa;280;RBB;RBB;5;Atacante;7;Provável;8;0;0;0;0
105213;Ariel Agustín Sant'Anna Quintero;Sant Anna;sant-anna;280;RBB;RBB;2;Lateral;6;Nulo;4;0;0;0;0
106160;Lucas Alexandre Galdino de Azevedo;Lucão;lucao;280;RBB;RBB;1;Goleiro;6;Nulo;4;0;0;0;0
107236;Vanderlan Barbosa da Silva;Vanderlan;vanderlan;280;RBB;RBB;2;Lateral;5;Contundido;5;0;0;0;0
108133;Isidro Miguel Pitta Saldívar;Isidro Pitta;isidro-pitta;280;RBB;RBB;5;Atacante;6;Nulo;7;0;0;0;0
111246;Alix Vinicius de Souza Sampaio;Alix Vinicius;alix-vinicius;280;RBB;RBB;3;Zagueiro;7;Provável;6;0;0;0;0
118175;Nathan Camargo dos Santos;Nathan Camargo;nathan-camargo;280;RBB;RBB;4;Meia;6;Nulo;2;0;0;0;0
122897;Guzmán Rodríguez Ferrari;Guzmán Rodríguez;guzman-rodriguez;280;RBB;RBB;3;Zagueiro;6;Nulo;6;0;0;0;0
124239;Henry David Mosquera Sánchez;Henry Mosquera;henry-mosquera;280;RBB;RBB;5;Atacante;7;Provável;4;0;0;0;0
122755;Lucas de Souza Cunha;Lucas Cunha;lucas-cunha;280;RBB;RBB;3;Zagueiro;6;Nulo;3;0;0;0;0
111760;Fábio Silva de Freitas;Fabinho;fabinho;280;RBB;RBB;4;Meia;6;Nulo;4;0;0;0;0
122394;Gustavo Ribeiro Neves;Gustavinho;gustavinho;280;RBB;RBB;4;Meia;6;Nulo;4;0;0;0;0
113157;Nathan Gabriel de Souza Mendes;Nathan Mendes;nathan-mendes;287;VIT;VIT;2;Lateral;6;Nulo;4;0;0;0;0
138021;Sergio Stevan Palacios Zapata;Palacios;palacios;280;RBB;RBB;3;Zagueiro;6;Nulo;3;0;0;0;0
68920;Eduardo Pereira Rodrigues;Dudu;dudu;282;CAM;CAM;5;Atacante;7;Provável;9;0;0;0;0
39656;Alan Steven Franco Palma;Alan Franco;alan-franco;282;CAM;CAM;4;Meia;7;Provável;7;0;0;0;0
140906;Davi Gomes de Alvarenga;Davi Gomes;davi-gomes;280;RBB;RBB;5;Atacante;6;Nulo;3;0;0;0;0
132580;Vinicius Mendonça Pereira;Vinicinho;vinicinho;280;RBB;RBB;5;Atacante;6;Nulo;5;0;0;0;0
72605;Vitor Hugo Franchescoli de Souza;Vitor Hugo;vitor-hugo;282;CAM;CAM;3;Zagueiro;6;Nulo;7;0;0;0;0
132274;Ignacio Sosa Ospital;Ignacio Sosa;ignacio-sosa;280;RBB;RBB;4;Meia;6;Nulo;6;0;0;0;0
100084;Igor Silveira Gomes;Igor Gomes;igor-gomes;282;CAM;CAM;4;Meia;7;Provável;8;0;0;0;0
98909;Tomás Esteban Cuello;Cuello;cuello;282;CAM;CAM;5;Atacante;6;Nulo;7;0;0;0;0
91607;Ronielson da Silva Barbosa;Rony;rony;282;CAM;CAM;5;Atacante;6;Nulo;8;0;0;0;0
72460;Bernard Anício Caldeira Duarte;Bernard;bernard;282;CAM;CAM;4;Meia;7;Provável;6;0;0;0;0
101002;José Antonio dos Santos Júnior;Júnior Santos;junior-santos;282;CAM;CAM;5;Atacante;6;Nulo;5;0;0;0;0
101314;Ademir da Silva Santos Júnior;Ademir;ademir;265;BAH;BAH;5;Atacante;7;Provável;8;0;0;0;0
88312;Júnior Osmar Ignacio Alonso Mujica;Junior Alonso;junior-alonso;282;CAM;CAM;3;Zagueiro;7;Provável;6;0;0;0;0
87999;Gustavo Henrique Furtado Scarpa;Gustavo Scarpa;gustavo-scarpa;282;CAM;CAM;4;Meia;6;Nulo;10;0;0;0;0
118774;Alexsander Cristhian Gomes da Costa - Christian;Alexsander;alexsander;282;CAM;CAM;4;Meia;6;Nulo;8;0;0;0;0
110760;Gabriel Teixeira Aragão;Biel;biel;282;CAM;CAM;5;Atacante;6;Nulo;5;0;0;0;0
42135;Willian Borges da Silva;Willian;willian;284;GRE;GRE;4;Meia;7;Provável;6;0;0;0;0
107554;Natanael Moreira Milouski;Natanael;natanael;282;CAM;CAM;2;Lateral;6;Nulo;7;0;0;0;0
92087;Lyanco Evangelista Silveira Neves Vojnovic;Lyanco;lyanco;282;CAM;CAM;3;Zagueiro;6;Nulo;9;0;0;0;0
107744;Bruno Conceição Praxedes;Praxedes;praxedes;280;RBB;RBB;4;Meia;6;Nulo;4;0;0;0;0
105068;Reinier Jesus Carvalho;Reinier;reinier;282;CAM;CAM;4;Meia;6;Nulo;4;0;0;0;0
85048;Memphis Depay;Memphis Depay;memphis-depay;264;COR;COR;5;Atacante;7;Provável;17;0;0;0;0
115674;Gabriel Delfim Ferreira;Gabriel Delfim;gabriel-delfim;282;CAM;CAM;1;Goleiro;6;Nulo;2;0;0;0;0
122990;Patrick Roberto da Silva Campos;Patrick;patrick;282;CAM;CAM;4;Meia;6;Nulo;4;0;0;0;0
77485;André Martín Carrillo Díaz;Carrillo;carrillo;264;COR;COR;4;Meia;7;Provável;7;0;0;0;0
78248;Gustavo Henrique Vernes;Gustavo Henrique;gustavo-henrique;264;COR;COR;3;Zagueiro;7;Provável;10;0;0;0;0
103767;Gabriel Vinícius Menino;Gabriel Menino;gabriel-menino;277;SAN;SAN;4;Meia;2;Dúvida;6;0;0;0;0
95556;Raniele Almeida Melo;Raniele;raniele;264;COR;COR;4;Meia;6;Nulo;7;0;0;0;0
40990;Dorival Silvestre Júnior;Dorival Júnior;dorival-junior;264;COR;COR;6;Técnico;7;Provável;11;0;0;0;0
123359;Carlos Eduardo Amaral Pereira de Castro;Cadu;cadu;282;CAM;CAM;5;Atacante;6;Nulo;3;0;0;0;0
98720;Fabrizio Germán Angileri - Fabricio;Angileri;angileri;264;COR;COR;2;Lateral;6;Nulo;4;0;0;0;0
78435;Victor Vinícius Coelho dos Santos;Vitinho;vitinho;264;COR;COR;5;Atacante;6;Nulo;6;0;0;0;0
124661;Ivan Ramiro Román Hurtado;Iván Román;ivan-roman;282;CAM;CAM;3;Zagueiro;6;Nulo;5;0;0;0;0
98225;Pedro Raul Garay da Silva;Pedro Raul;pedro-raul;264;COR;COR;5;Atacante;6;Nulo;6;0;0;0;0
105531;Matheus Lima Beltrão Oliveira Valin;Matheus Bidu;matheus-bidu;264;COR;COR;2;Lateral;7;Provável;9;0;0;0;0
101574;Hugo de Souza Nogueira;Hugo Souza;hugo-souza;264;COR;COR;1;Goleiro;7;Provável;11;0;0;0;0
96342;Charles Rigon Mattos;Charles;charles;264;COR;COR;4;Meia;6;Nulo;4;0;0;0;0
107908;Hugo Ferreira de Farias;Hugo;hugo;264;COR;COR;2;Lateral;6;Nulo;4;0;0;0;0
102340;Carlos de Menezes Júnior;Cacá;caca;264;COR;COR;3;Zagueiro;5;Contundido;5;0;0;0;0
92440;André Ramalho Silva;André Ramalho;andre-ramalho;264;COR;COR;3;Zagueiro;6;Nulo;6;0;0;0;0
97642;Félix Eduardo Torres Caicedo;Félix Torres;felix-torres;285;INT;INT;3;Zagueiro;6;Nulo;4;0;0;0;0
121824;Kayke Ferrari Guimarães;Kayke;kayke;264;COR;COR;5;Atacante;6;Nulo;4;0;0;0;0
